Paper_Reference,Method_Name,Accuracy,Precision,Recall,F1_Score
Han et al. (2023),RandomForest_Han_et_al,0.775,0.3,0.21428571428571427,0.25
Han et al. (2023),KNN_Han_et_al,0.5625,0.13793103448275862,0.2857142857142857,0.18604651162790697
Mehmood et al. (2023),XGBoost_Mehmood_et_al,0.8,0.25,0.07142857142857142,0.1111111111111111
Mehmood et al. (2023),LightGBM_Mehmood_et_al,0.8,0.25,0.07142857142857142,0.1111111111111111
Han et al. (2023),NaiveBayes_Han_et_al,0.525,0.07142857142857142,0.14285714285714285,0.09523809523809523
Janjua et al. (2020),AdaBoost_Janjua_et_al,0.8125,0.0,0.0,0.0
Janjua et al. (2020),SVM_Janjua_et_al,0.825,0.0,0.0,0.0
Janjua et al. (2020),NaiveBayes_Janjua_et_al,0.75,0.0,0.0,0.0
Janjua et al. (2020),KNN_Janjua_et_al,0.8,0.0,0.0,0.0
Mehmood et al. (2023),RandomForest_Mehmood_et_al,0.8125,0.0,0.0,0.0
Mehmood et al. (2023),AdaBoost_Mehmood_et_al,0.8125,0.0,0.0,0.0
Your Research (2024),Proposed_Hybrid_Model,0.8,0.0,0.0,0.0
